isco08_4d,description_4d,isco08_3d,description_3d,isco08_2d,description_2d,isco08_1d,description_1d
8111,Miners and quarriers,811,Mining and mineral processing plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8112,Mineral and stone processing plant operators,811,Mining and mineral processing plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8113,Well drillers and borers and related workers,811,Mining and mineral processing plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8114,"Cement, stone and other mineral products machine operators",811,Mining and mineral processing plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8121,Metal processing plant operators,812,Metal processing and finishing plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8122,"Metal finishing, plating and coating machine operators",812,Metal processing and finishing plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8131,Chemical products plant and machine operators,813,Chemical and photographic products plant and machine operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8132,Photographic products machine operators,813,Chemical and photographic products plant and machine operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8141,Rubber products machine operators,814,"Rubber, plastic and paper products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8142,Plastic products machine operators,814,"Rubber, plastic and paper products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8143,Paper products machine operators,814,"Rubber, plastic and paper products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8151,"Fibre preparing, spinning and winding machine operators",815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8152,Weaving and knitting machine operators,815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8153,Sewing machine operators,815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8154,"Bleaching, dyeing and fabric cleaning machine operators",815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8155,Fur and leather preparing machine operators,815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8156,Shoemaking and related machine operators,815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8157,Laundry machine operators,815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8159,"Textile, fur and leather products machine operators not elsewhere classified",815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8160,Food and related products machine operators,816,Food and related products machine operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8171,Pulp and papermaking plant operators,817,Wood processing and papermaking plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8172,Wood processing plant operators,817,Wood processing and papermaking plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8181,Glass and ceramics plant operators,818,Other stationary plant and machine operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8182,Steam engine and boiler operators,818,Other stationary plant and machine operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8183,"Packing, bottling and labelling machine operators",818,Other stationary plant and machine operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8189,Stationary plant and machine operators not elsewhere classified,818,Other stationary plant and machine operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8211,Mechanical machinery assemblers,821,Assemblers,82,Assemblers,8,"Plant and machine operators, and assemblers"
8212,Electrical and electronic equipment assemblers,821,Assemblers,82,Assemblers,8,"Plant and machine operators, and assemblers"
8219,Assemblers not elsewhere classified,821,Assemblers,82,Assemblers,8,"Plant and machine operators, and assemblers"
8311,Locomotive engine drivers,831,Locomotive engine drivers and related workers,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
8312,"Railway brake, signal and switch operators",831,Locomotive engine drivers and related workers,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
8321,Motorcycle drivers,832,"Car, van and motorcycle drivers",83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
8322,"Car, taxi and van drivers",832,"Car, van and motorcycle drivers",83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
8331,Bus and tram drivers,833,Heavy truck and bus drivers,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
8332,Heavy truck and lorry drivers,833,Heavy truck and bus drivers,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
8341,Mobile farm and forestry plant operators,834,Mobile plant operators,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
8342,Earthmoving and related plant operators,834,Mobile plant operators,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
8343,"Crane, hoist and related plant operators",834,Mobile plant operators,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
8344,Lifting truck operators,834,Mobile plant operators,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
8350,Ships' deck crews and related workers,835,Ships' deck crews and related workers,83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
9111,Domestic cleaners and helpers,911,"Domestic, hotel and office cleaners and helpers",91,Cleaners and helpers,9,Elementary occupations
9112,"Cleaners and helpers in offices, hotels and other establishments",911,"Domestic, hotel and office cleaners and helpers",91,Cleaners and helpers,9,Elementary occupations
9121,Hand launderers and pressers,912,"Vehicle, window, laundry and other hand cleaning workers",91,Cleaners and helpers,9,Elementary occupations
9122,Vehicle cleaners,912,"Vehicle, window, laundry and other hand cleaning workers",91,Cleaners and helpers,9,Elementary occupations
9123,Window cleaners,912,"Vehicle, window, laundry and other hand cleaning workers",91,Cleaners and helpers,9,Elementary occupations
9129,Other cleaning workers,912,"Vehicle, window, laundry and other hand cleaning workers",91,Cleaners and helpers,9,Elementary occupations
9211,Crop farm labourers,921,"Agricultural, forestry and fishery labourers",92,"Agricultural, forestry and fishery labourers",9,Elementary occupations
9212,Livestock farm labourers,921,"Agricultural, forestry and fishery labourers",92,"Agricultural, forestry and fishery labourers",9,Elementary occupations
9213,Mixed crop and livestock farm labourers,921,"Agricultural, forestry and fishery labourers",92,"Agricultural, forestry and fishery labourers",9,Elementary occupations
9214,Garden and horticultural labourers,921,"Agricultural, forestry and fishery labourers",92,"Agricultural, forestry and fishery labourers",9,Elementary occupations
9215,Forestry labourers,921,"Agricultural, forestry and fishery labourers",92,"Agricultural, forestry and fishery labourers",9,Elementary occupations
9216,Fishery and aquaculture labourers,921,"Agricultural, forestry and fishery labourers",92,"Agricultural, forestry and fishery labourers",9,Elementary occupations
9311,Mining and quarrying labourers,931,Mining and construction labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9312,Civil engineering labourers,931,Mining and construction labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9313,Building construction labourers,931,Mining and construction labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9321,Hand packers,932,Manufacturing labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9329,Manufacturing labourers not elsewhere classified,932,Manufacturing labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9331,Hand and pedal vehicle drivers,933,Transport and storage labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9332,Drivers of animal-drawn vehicles and machinery,933,Transport and storage labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9333,Freight handlers,933,Transport and storage labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9334,Shelf fillers,933,Transport and storage labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9411,Fast food preparers,941,Food preparation assistants,94,Food preparation assistants,9,Elementary occupations
9412,Kitchen helpers,941,Food preparation assistants,94,Food preparation assistants,9,Elementary occupations
9510,Street and related service workers,951,Street and related service workers,95,Street and related sales and service workers,9,Elementary occupations
9520,Street vendors (excluding food),952,Street vendors (excluding food),95,Street and related sales and service workers,9,Elementary occupations
9611,Garbage and recycling collectors,961,Refuse workers,96,Refuse workers and other elementary workers,9,Elementary occupations
9612,Refuse sorters,961,Refuse workers,96,Refuse workers and other elementary workers,9,Elementary occupations
9613,Sweepers and related labourers,961,Refuse workers,96,Refuse workers and other elementary workers,9,Elementary occupations
9621,"Messengers, package deliverers and luggage porters",962,Other elementary workers,96,Refuse workers and other elementary workers,9,Elementary occupations
9622,Odd job persons,962,Other elementary workers,96,Refuse workers and other elementary workers,9,Elementary occupations
9623,Meter readers and vending-machine collectors,962,Other elementary workers,96,Refuse workers and other elementary workers,9,Elementary occupations
9624,Water and firewood collectors,962,Other elementary workers,96,Refuse workers and other elementary workers,9,Elementary occupations
9629,Elementary workers not elsewhere classified,962,Other elementary workers,96,Refuse workers and other elementary workers,9,Elementary occupations
0110,Commissioned armed forces officers,011,Commissioned armed forces officers,01,Commissioned armed forces officers,0,Armed forces occupations
0210,Non-commissioned armed forces officers,021,Non-commissioned armed forces officers,02,Non-commissioned armed forces officers,0,Armed forces occupations
0310,"Armed forces occupations, other ranks",031,"Armed forces occupations, other ranks",03,"Armed forces occupations, other ranks",0,Armed forces occupations
